Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
272877,3467452037355,MAJORETTE BST Banh Xe*1UN,CAI,3,1,8934563506155,20210329163118
273043,8936127792110,TH TRUE Nuoc Ep Oi 350ml/1 Chai,CHAI,10,1,Display,20210329160733
273051,8936127793001,TH TRUE Nuoc Ep Chuoi Xoai 300ml/1 Chai,CHAI,12,1,Display,20210329160726
273069,8935049501527,COCA COLA LIGHT Nuoc Ngot Co Ga Lon Cao 320ml/1 Lon,LON,5,1,Backroom,20210329161205
273108,8935049501602,SCHWEPPES Tonic Lon Cao 320ml/1 Lon,LON,25,1,Backroom,20210329161202
273205,8936064240026,QL Raw Material Chicken Egg (FS)/1 Blister,VI,2,1,Display,20210329155548
273205,8936064240026,QL Raw Material Chicken Egg (FS)/1 Blister,VI,50,1,Display,20210329155643
273687,8935005800145,LAVIE Nuoc Khoang 700ml/1 Chai,CHAI,10,1,Display,20210329160834
300640,8936124240072,LE PAIN DORE BM Socola 40g/1 Pack,GOI,12,1,Bad Merchandise,20210329163018
300645,9551001410073,YOBICK Sua Chua Uong Vi Dua 180ml/1 Chai,CHAI,5,1,Backroom,20210329161333
300708,2100013007084,CK VN Coffee Cup Size L (50 unit x 22oz)/1 Pack,GOI,6,1,Backroom,20210329161612
300748,8938530324087,AURA Nuoc Tang Luc Vi Nho Cola 240ml/1 Lon,LON,7,1,Display,20210329160933
300752,8936011779555,CELANO Kem Tran Chau Hoang Kim 65g/1 Que,QUE,10,1,Display,20210329163444
300754,8938512833750,FUJIWA Nuoc Uong I-On Kiem 680ml/1 Chai,CHAI,7,1,Display,20210329160838
300757,8808024028831,JARDIN OUR TEA Tra Ba Tuoc 500ml/1 Chai,CHAI,15,1,Display,20210329160937
300792,8934673581394,VINAMILK Sua Tiet Trung It Duong 1L/1 Hop,HOP,5,1,Display,20210329155454
300795,8936071070333,NISSIN Mi Ga Cay 71g/1 Goi,GOI,5,1,Backroom,20210329161826
300805,8934841902877,DUTCH LADY Sua Chua Uong Tu Nhien 180ml/1 Hop,HOP,7,1,Bad Merchandise,20210329162920
300826,2100013008265,KHP Nhan 250g/1 Vi,VI,2,1,Display,20210329155328
